1890-01-10	Leo XIII	L13SAPIE.HTM	SAPIENTIAE CHRISTIANAE (On Christians as Citizens)
1896-06-29	Leo XIII	L13SATIS.HTM	SATIS COGNITUM (On the Unity of the Church)
1890-11-20	Leo XIII	L13SLV.HTM	CATHOLICAE ECCLESIAE (On Slavery in the Missions)
1898-08-05	Leo XIII	L13SPESS.HTM	SPESSE VOLTE (On the Suppression of Catholic Institutions)
1882-12-08	Leo XIII	L13SPN.HTM	CUM MULTA (On Conditions in Spain)
1885-11-01	Leo XIII	L13STA.HTM	IMMORTALE DEI (On the Christian Constitution of States)
1883-09-01	Leo XIII	L13SUPRE.HTM	SUPREMI APOSTOLATUS OFFICIO (On Devotion of the Rosary)
1900-11-01	Leo XIII	L13TAMET.HTM	TAMETSI FUTURA PROSPICIENTIBUS (On Jesus Christ the Redeemer)
1901-11-20	Leo XIII	L13URBAN.HTM	INCIPIT (Subject)
1909-04-21	Pius X	P10ANS.HTM	COMMUNIUM RERUM (On St. Anselm of Aosta)
1910-05-26	Pius X	P10CHA.HTM	EDITAE SAEPE (On St. Charles Borromeo)
1905-04-15	Pius X	P10CHDOC.HTM	ACERBO NIMIS (On Teaching Christian Doctrine)
1906-07-28	Pius X	P10CLR.HTM	PIENI L'ANIMO (On the Clergy in Italy)
1907-01-06	Pius X	P10CST.HTM	UNE FOIS ENCORE (On the Separation of Church and State)
1905-06-11	Pius X	P10FERMO.HTM	IL FERMO PROPOSITO (On Catholic Action in Italy)
1906-08-10	Pius X	P10FR.HTM	GRAVISSIMO OFFICII MUNERE (On French Associations of Worship)
1904-03-12	Pius X	P10GREG.HTM	IUCUNDA SANE (On Pope Gregory the Great)
1904-02-02	Pius X	P10IMCON.HTM	AD DIEM ILLUM LAETISSIMUM (On the Immaculate Conception)
1912-06-07	Pius X	P10IND.HTM	LACRIMABILI STATU (On the Indians of South America)
1912-09-24	Pius X	P10LAB.HTM	SINGULARI QUADAM (On Labor Organizations)
1906-02-11	Pius X	P10LAW.HTM	VEHEMENTER NOS (On the French Law of Separation)
1906-04-05	Pius X	P10MYS.HTM	TRIBUS CIRCITER (On the Mariavites or Mystic Priests of Poland)
1066-01-01	Pius X	P10PASCE.HTM	INCIPIT (Subject)
1911-05-24	Pius X	P10POR.HTM	IAMDUDUM (On the Law of Separation in Portugal)
1903-10-04	Pius X	P10SUPRE.HTM	E SUPREMI (On the Restoration of All Things in Christ)
1932-09-29	Pius XI	P11ANIMI.HTM	ACERBA ANIMI (On Persecution of the Church in Mexico)
1922-12-23	Pius XI	P11ARCAN.HTM	INCIPIT (Subject)
1937-03-14	Pius XI	P11BRENN.HTM	MIT BRENNENDER SORGE (On the Church and the German Reich)
1932-05-03	Pius XI	P11CARIT.HTM	CARITATE CHRISTI COMPULSI (On the Sacred Heart)
1930-12-31	Pius XI	P11CASTI.HTM	CASTI CONNUBII (On Christian Marriage)
1935-12-20	Pius XI	P11CATHO.HTM	AD CATHOLICI SACERDOTII (On the Catholic Priesthood)
1929-12-31	Pius XI	P11DIVIL.HTM	DIVINI ILLIUS MAGISTRI (On Christian Education)
1937-03-19	Pius XI	P11DIVIN.HTM	DIVINI REDEMPTORIS (On Atheistic Communism)
1923-11-12	Pius XI	P11ECCLE.HTM	ECCLESIAM DEI (On St. Josaphat)
1931-06-29	Pius XI	P11FAC.HTM	NON ABBIAMO BISOGNO (On Catholic Action in Italy)
1937-09-29	Pius XI	P11GRAVE.HTM	INGRAVESCENTIBUS MALIS (On the Rosary)
1931-10-02	Pius XI	P11IMPEN.HTM	NOVA IMPENDET (On the Economic Crisis)
1926-11-18	Pius XI	P11INIQU.HTM	INIQUIS AFFLICTISQUE (On the Persecution of the Church in Mexico)
1924-01-18	Pius XI	P11MAXIM.HTM	MAXIMAM GRAVISSIMAMQUE (On French Diocesan Associations)
1929-12-20	Pius XI	P11MENS.HTM	MENS NOSTRA (The Promotion of the Spiritual Exercises)
1928-05-08	Pius XI	P11MISER.HTM	MISERENTISSIMUS REDEMPTOR (On Reparation to the Sacred Heart)
1928-01-06	Pius XI	P11MORTA.HTM	MORTALIUM ANIMOS (On Religious Unity)
1933-06-03	Pius XI	P11NOBIS.HTM	DILECTISSIMA NOBIS (On Oppression of the Church of Spain)
1937-03-28	Pius XI	P11NOSES.HTM	NOS ES MUY CONOCIDA (On the Religious Situation in Mexico)
1923-01-26	Pius XI	P11PERTU.HTM	RERUM OMNIUM PERTURBATIONEM (St. Francis De Sales)
1925-12-11	Pius XI	P11PRIMA.HTM	QUAS PRIMAS (On the Feast of Christ the King)
1931-05-15	Pius XI	P11QUADR.HTM	QUADRAGESIMO ANNO (On Reconstruction of the Social Order)
1929-12-23	Pius XI	P11QUINQ.HTM	QUINQUAGESIMO ANTE (On His Sacerdotal Jubilee)
1926-02-08	Pius XI	P11REREC.HTM	RERUM ECCLESIAE (On Catholic Missions)
1928-09-08	Pius XI	P11REROR.HTM	RERUM ORIENTALIUM (On the Promotion of Oriental Studies)
1926-04-13	Pius XI	P11RITEX.HTM	RITE EXPIATIS (On St. Francis of Assisi)
1930-04-30	Pius XI	P11SALUT.HTM	AD SALUTEM (On St. Augustine)
1923-06-29	Pius XI	P11STUDI.HTM	STUDIORUM DUCEM (On St. Thomas Aquinas)
1931-12-25	Pius XI	P11VERIT.HTM	LUX VERITATIS (On the Council of Ephesus)
1066-01-01	Pius XI	P11VIGIL.HTM	INCIPIT (Subject)
1950-03-12	Pius XII	P12ANNI.HTM	INCIPIT (Subject)
1958-06-29	Pius XII	P12APOST.HTM	AD APOSTOLORUM PRINCIPIS (On Communism And The Church In China)
1948-05-01	Pius XII	P12AUSPI.HTM	INCIPIT (Subject)
1066-01-01	Pius XII	P12CAELI.HTM	AD CAELI REGINAM (?)
1945-04-15	Pius XII	P12COMMU.HTM	INCIPIT (Subject)
1956-11-05	Pius XII	P12DATIS.HTM	INCIPIT (Subject)
1946-05-01	Pius XII	P12DEIPA.HTM	INCIPIT (Subject)
1943-09-30	Pius XII	P12DIVIN.HTM	DIVINO AFFLANTE SPIRITU (Divine Spirit)
1953-05-24	Pius XII	P12DOCTO.HTM	INCIPIT (Subject)
1952-12-15	Pius XII	P12ECCLE.HTM	ORIENTALES ECCLESIAS (On The Persecuted Eastern Church)
1951-06-02	Pius XII	P12EVANG.HTM	EVANGELII PRAECONES (On Promotion Of Catholic Missions)
1954-06-05	Pius XII	P12FASTO.HTM	ECCLESIAE FASTOS (On St. Boniface)
1957-04-21	Pius XII	P12FIDEI.HTM	INCIPIT (Subject)
1953-09-08	Pius XII	P12FULGE.HTM	INCIPIT (Subject)
1956-05-15	Pius XII	P12HAURI.HTM	HAURIETIS AQUAS (On Devotion To The Sacred Heart)
1950-08-12	Pius XII	P12HUMAN.HTM	INCIPIT (Subject)
