Seq	PropersID	Year	Reference
1005	Ord. Time, Week 33, Thurs	2	Rev 5:1-10
1006	Nov 1: Solemnity: All Saints (1st reading)	1+2	Rev 7:2-4, 9-14
1007	Ord. Time, Week 33, Fri	2	Rev 10:8-11
1008	Ord. Time, Week 33, Sat	2	Rev 11:4-12
1009	Aug 15: Solemnity: Assumption of the BVMary, Day (1st reading)	1+2	Rev 11:19a; 12:1-6a, 10ab
1010	Dec 12: Our Lady of Guadalupe (option 2)	1+2	Rev 11:19a; 12:1-6a, 10ab
1011	Sept 29: Sts. Michael, Gabriel, and Raphael, archangels (option 2)	1+2	Rev 12:7-12a
1012	Ord. Time, Week 34, Mon	2	Rev 14:1-3, 4b-5
1013	Ord. Time, Week 34, Tues	2	Rev 14:14-19
1014	Ord. Time, Week 34, Wed	2	Rev 15:1-4
1015	Ord. Time, Week 34, Thurs	2	Rev 18:1-2, 21-23; 19:1-3, 9a
1016	Ord. Time, Week 34, Fri	2	Rev 20:1-4, 11—21:2
1017	Aug 24: St. Bartholomew, Apostle	1+2	Rev 21:9b-14
1018	Ord. Time, Week 34, Sat	2	Rev 22:1-7
1019	Advent, Week 2, Fri	1+2	Ps 1:1-2, 3, 4+6
1020	Thursday after Ash Wed.	1+2	Ps 1:1-2, 3, 4+6
1021	Lent, Week 2, Thurs	1+2	Ps 1:1-2, 3, 4+6
1022	Ord. Time, Week 7, Thurs	1	Ps 1:1-2, 3, 4+6
1023	Ord. Time, Week 27, Thurs	1	Ps 1:1-2, 3, 4+6
1024	Ord. Time, Week 28, Wed	2	Ps 1:1-2, 3, 4+6
1025	Ord. Time, Week 29, Thurs	1	Ps 1:1-2, 3, 4+6
1026	Ord. Time, Week 30, Mon	2	Ps 1:1-2, 3, 4+6
1027	Ord. Time, Week 33, Mon	2	Ps 1:1-2, 3, 4+6
1028	Easter, Week 2, Mon	1+2	Ps 2:1-3, 4-7a, 7b-9
1029	Easter, Week 4, Fri	1+2	Ps 2:6-7, 8-9, 10-11ab
1030	Mon after Epiphany, or Jan. 7	1+2	Ps 2:7bc-8, 10-12a
1031	Ord. Time, Week 4, Mon	2	Ps 3:2-3, 4-5, 6-7
1032	Ord. Time, Week 33, Tues	1	Ps 3:2-3, 4-5, 6-7
1033	Ord. Time, Week 10, Tues	2	Ps 4:2-3, 4-5, 7b-8
1034	Ord. Time, Week 11, Mon	2	Ps 5:2-3ab, 4b-6a, 6b-7
1035	Ord. Time, Week 13, Tues	2	Ps 5:4b-6a, 6b-7, 8
1036	Ord. Time, Week 23, Mon	2	Ps 5:5-6, 7, 12
1037	Lent, Week 4, Sat	1+2	Ps 7:2-3, 9bc-10, 11-12
