Seq,Reference,PropersID,Year,Brief Description of Reading
347,John 3:13-17,Sept 14: Exaltation of the Holy Cross,,
348,John 3:14-21,4th Sunday of Lent,B,
349,John 3:16-18,Sunday after Pentecost: Holy Trinity,A,
350,"John 4:5-42 or 4:5-15, 19b-26, 39a, 40-42",3rd Sunday of Lent,C,
351,John 6:1-15,17th Sunday in Ordinary Time,B,
352,John 6:24-35,18th Sunday in Ordinary Time,B,
353,John 6:41-51,19th Sunday in Ordinary Time,B,
354,John 6:51-58,20th Sunday in Ordinary Time,B,
355,John 6:51-58,Sunday after Trinity Sun: Body & Blood of Christ,A,
356,John 6:60-69,21st Sunday in Ordinary Time,B,
357,John 7:37-39,Pentecost Sunday: Vigil Mass,ABC,
358,John 8:1-11,5th Sunday of Lent,C,
359,"John 9:1-41 or 9:1, 6-9, 13-17, 34-38",4th Sunday of Lent,C,
360,John 10:1-10,4th Sunday of Easter,A,
361,John 10:11-18,4th Sunday of Easter,B,
362,John 10:27-30,4th Sunday of Easter,C,
363,"John 11:1-45 or 11:3-7, 17, 20-27, 33b-45",5th Sunday of Lent,C,
364,John 12:12-16,Palm Sunday: Procession of Palms (opt. 2),B,
365,John 12:20-33,5th Sunday of Lent,B,
366,John 13:1-15,Holy Thursday: Mass of the Lord's Supper,ABC,
367,"John 13:31-33a, 34-35",5th Sunday of Easter,C,
368,John 14:1-12,5th Sunday of Easter,A,
369,"John 14:15-16, 23b-26",Pentecost Sunday (opt. C),C,
370,John 14:15-21,6th Sunday of Easter,A,
371,John 14:23-29,6th Sunday of Easter,C,
372,John 15:1-8,5th Sunday of Easter,B,
373,John 15:9-17,6th Sunday of Easter,B,
374,John 15:26-27; 16:12-15,Pentecost Sunday (opt. B),B,
375,John 16:12-15,Sunday after Pentecost: Holy Trinity,C,
376,John 17:1-11a,7th Sunday of Easter,A,
377,John 17:11b-19,7th Sunday of Easter,B,
378,John 17:20-26,7th Sunday of Easter,C,
379,John 18:1-19:42,Good Friday of the Lord's Passion,ABC,
380,John 18:33b-37,34th Sunday in Ord. Time: Christ the King,B,
381,John 19:31-37,Friday after 2nd Sun after Pentecost: Sacred Heart,B,
382,John 20:1-9,Easter Sunday: Resurrection of the Lord (opt. 1),ABC,
383,John 20:19-23,Pentecost Sunday,ABC,
384,John 20:19-31,2nd Sunday of Easter,C,
385,John 21:1-19 or 21:1-14,3rd Sunday of Easter,C,
386,John 21:15-19,"June 29: Sts. Peter and Paul, Vigil",,
387,Acts 1:1-11,Ascension of the Lord,ABC,
388,Acts 1:12-14,7th Sunday of Easter,A,
389,"Acts 1:15-17, 20a, 20c-26",7th Sunday of Easter,B,
390,Acts 2:1-11,Pentecost Sunday,ABC,
391,"Acts 2:14, 22-33",3rd Sunday of Easter,A,
392,"Acts 2:14a, 36-41",4th Sunday of Easter,A,
393,Acts 2:42-47,2nd Sunday of Easter,A,
394,Acts 3:1-10,"June 29: Sts. Peter and Paul, Apostles, Vigil (1st reading)",,
395,"Acts 3:13-15, 17-19",3rd Sunday of Easter,B,
396,Acts 4:8-12,4th Sunday of Easter,B,
397,Acts 4:32-35,2nd Sunday of Easter,B,
398,Acts 5:12-16,2nd Sunday of Easter,C,
399,"Acts 5:27-32, 40b-41",3rd Sunday of Easter,C,
400,Acts 6:1-7,5th Sunday of Easter,A,
401,Acts 7:55-60,7th Sunday of Easter,C,
402,"Acts 8:5-8, 14-17",6th Sunday of Easter,A,
403,Acts 9:26-31,5th Sunday of Easter,B,
404,"Acts 10:25-26, 34-35, 44-48",6th Sunday of Easter,B,
405,Acts 10:34-38,Sunday after Epiphany: Baptism of the Lord,ABC,
406,"Acts 10:34a, 37-43",Easter Sunday: Resurrection of the Lord,ABC,
407,Acts 12:1-11,"June 29: Sts. Peter and Paul, Apostles, Day (1st reading)",,
408,"Acts 13:14, 43-52",4th Sunday of Easter,C,
409,"Acts 13:16-17, 22-25",Dec. 25: Christmas: Vigil Mass,ABC,
410,Acts 13:22-26,"June 24: Nativity of St. John the Baptist, Day",,
411,Acts 14:21-27,5th Sunday of Easter,C,
412,"Acts 15:1-2, 22-29",6th Sunday of Easter,C,
413,Rom 1:1-7,4th Sunday of Advent,A,
414,"Rom 3:21-25, 28",9th Sunday in Ordinary Time,A,
415,"Rom 4:13, 16-18, 22","March 19: St. Joseph, husband of the BVMary",,
416,Rom 4:18-25,10th Sunday in Ordinary Time,A,
417,"Rom 5:1-2, 5-8",3rd Sunday of Lent,A,
418,Rom 5:1-5,Sunday after Pentecost: Holy Trinity,C,
419,Rom 5:5b-11,Friday after 2nd Sun after Pentecost: Sacred Heart,C,
420,Rom 5:6-11,11th Sunday in Ordinary Time,A,
421,Rom 5:12-15,12th Sunday in Ordinary Time,A,
422,"Rom 5:12-19 or 5:12, 17-19",1st Sunday of Lent,A,
423,Rom 6:3-11,Easter Vigil,ABC,
424,"Rom 6:3-4, 8-11",13th Sunday in Ordinary Time,A,
425,Rom 8:8-11,5th Sunday of Lent,A,
426,Rom 8:8-17,Pentecost Sunday (opt. C),C,
427,"Rom 8:9, 11-13",14th Sunday in Ordinary Time,A,
428,Rom 8:14-17,Sunday after Pentecost: Holy Trinity,B,
429,Rom 8:18-23,15th Sunday in Ordinary Time,A,
430,Rom 8:22-27,Pentecost Sunday: Vigil Mass,ABC,
431,Rom 8:26-27,16th Sunday in Ordinary Time,A,
432,Rom 8:28-30,17th Sunday in Ordinary Time,A,
433,Rom 8:31b-34,2nd Sunday of Lent,B,
434,"Rom 8:35, 37-39",18th Sunday in Ordinary Time,A,
435,Rom 9:1-5,19th Sunday in Ordinary Time,A,
436,Rom 10:8-13,1st Sunday of Lent,C,
437,"Rom 11:13-15, 29-32",20th Sunday in Ordinary Time,A,
438,Rom 11:33-36,21st Sunday in Ordinary Time,A,
439,Rom 12:1-2,22nd Sunday in Ordinary Time,A,
440,Rom 13:8-10,23rd Sunday in Ordinary Time,A,
441,Rom 13:11-14,1st Sunday of Advent,A,
442,Rom 14:7-9,24th Sunday in Ordinary Time,A,
443,Rom 15:4-9,2nd Sunday of Advent,A,
444,Rom 16:25-27,4th Sunday of Advent,B,
445,1 Cor 1:1-3,2nd Sunday in Ordinary Time,A,
446,1 Cor 1:3-9,1st Sunday of Advent,B,
447,"1 Cor 1:10-13, 17",3rd Sunday in Ordinary Time,A,
448,1 Cor 1:22-25,3rd Sunday of Lent,B,
449,1 Cor 1:26-31,4th Sunday in Ordinary Time,A,
450,1 Cor 2:1-5,5th Sunday in Ordinary Time,A,
451,1 Cor 2:6-10,6th Sunday in Ordinary Time,A,
452,"1 Cor 3:9c-11, 16-17",Nov 9: Dedication of the Lateran Basilica in Rome,,
