Seq,Reference,PropersID,Year
235,"Isa 56:1-3a, 6-8","Advent, Week 3, Fri",1+2
236,Isa 58:1-9a,Friday after Ash Wed.,1+2
237,Isa 58:9b-14,Saturday after Ash Wed.,1+2
238,"Isa 61:1-3a, 6a, 8b-9","Holy Week, Chrism Mass (1st Reading)",1+2
239,Isa 65:17-21,"Lent, Week 4, Mon",1+2
240,"Jer 1:1, 4-10","Ord. Time, Week 16, Wed",2
241,Jer 1:4-10,"June 24: Solemnity: Nativity of St. John the Baptist, Vigil",1+2
242,Jer 1:17-19,Aug 29: Martyrdom of St. John the Baptist,1+2
243,"Jer 2:1-3, 7-8, 12-13","Ord. Time, Week 16, Thurs",2
244,Jer 3:14-17,"Ord. Time, Week 16, Fri",2
245,Jer 7:1-11,"Ord. Time, Week 16, Sat",2
246,Jer 7:23-28,"Lent, Week 3, Thurs",1+2
247,Jer 11:18-20,"Lent, Week 4, Sat",1+2
248,Jer 13:1-11,"Ord. Time, Week 17, Mon",2
249,Jer 14:17-22,"Ord. Time, Week 17, Tues",2
250,"Jer 15:10, 16-21","Ord. Time, Week 17, Wed",2
251,Jer 17:5-10,"Lent, Week 2, Thurs",1+2
252,Jer 18:1-6,"Ord. Time, Week 17, Thurs",2
253,Jer 18:18-20,"Lent, Week 2, Wed",1+2
254,Jer 20:10-13,"Lent, Week 5, Fri",1+2
255,Jer 23:5-8,"Advent, Dec. 18",1+2
256,Jer 26:1-9,"Ord. Time, Week 17, Fri",2
257,"Jer 26:11-16, 24","Ord. Time, Week 17, Sat",2
258,Jer 28:1-17,"Ord. Time, Week 18, Mon",2
259,"Jer 30:1-2, 12-15, 18-22","Ord. Time, Week 18, Tues",2
260,Jer 31:1-7,"Ord. Time, Week 18, Wed",2
261,"Jer 31:10, 11-12ab, 13","Ord. Time, Week 25, Sat",1
262,"Jer 31:10, 11-12ab, 13","Ord. Time, Week 18, Wed",2
263,"Jer 31:10, 11-12ab[cd], 13","Lent, Week 5, Sat",1+2
264,"Jer 31:10, 11-12ab[cd], 13","Ord. Time, Week 16, Fri",2
265,Jer 31:31-34,"Ord. Time, Week 18, Thurs",2
266,"Lam 2:2, 10-14, 18-19","Ord. Time, Week 12, Sat",2
267,Bar 1:15-22,"Ord. Time, Week 26, Fri",1
268,"Bar 4:5-12, 27-29","Ord. Time, Week 26, Sat",1
269,"Ezek 1:2-5, 24-28c","Ord. Time, Week 19, Mon",2
270,Ezek 2:8-3:4,"Ord. Time, Week 19, Tues",2
271,Ezek 9:1-7; 10:18-22,"Ord. Time, Week 19, Wed",2
272,Ezek 12:1-12,"Ord. Time, Week 19, Thurs",2
273,"Ezek 16:1-15, 60, 63 or 16:59-63","Ord. Time, Week 19, Fri",2
274,"Ezek 18:1-10, 13b, 30-32","Ord. Time, Week 19, Sat",2
275,Ezek 18:21-28,"Lent, Week 1, Fri",1+2
276,Ezek 24:15-23,"Ord. Time, Week 20, Mon",2
277,Ezek 28:1-10,"Ord. Time, Week 20, Tues",2
278,Ezek 34:1-11,"Ord. Time, Week 20, Wed",2
279,Ezek 36:23-28,"Ord. Time, Week 20, Thurs",2
280,Ezek 37:1-14,"Ord. Time, Week 20, Fri",2
