HymnID	HymnNoticeText	HymnalID	HymnNumber	HymnFirstLine	Metre	Tune	Occasion	Plainsong	Alternates
CH0191	CH191 Give me peace, O Lord, I pray	CH	191	Give me peace, O Lord, I pray
CH0192	CH192 Give me yourself	CH	192	Give me yourself
CH0193	CH193 Give praise to the Lord	CH	193	Give praise to the Lord
CH0194	CH194 Glorious God, King of creation	CH	194	Glorious God, King of creation
CH0195	CH195 Glorious things of you are spoken	CH	195	Glorious things of you are spoken
CH0196	CH196 Glory and praise to our God	CH	196	Glory and praise to our God
CH0197	CH197 Glory be to Jesus	CH	197	Glory be to Jesus
CH0198	CH198 Glory to God	CH	198	Glory to God
CH0198	CH198 Peruvian Gloria	CH	198	Peruvian Gloria
CH0199	CH199 Glory to thee, Lord God	CH	199	Glory to thee, Lord God
CH0200	CH200 Glory to thee, my God, this night	CH	200	Glory to thee, my God, this night
CH0201	CH201 Envoi Round	CH	201	Envoi Round
CH0201	CH201 Go out to the whole world	CH	201	Go out to the whole world
CH0202	CH202 Go, tell it on the mountain	CH	202	Go, tell it on the mountain
CH0203	CH203 Go, the Mass is ended	CH	203	Go, the Mass is ended
CH0204	CH204 God, at creation's dawn	CH	204	God, at creation's dawn
CH0205	CH205 God be in my head	CH	205	God be in my head
CH0206	CH206 God be with you till we meet	CH	206	God be with you till we meet
CH0207	CH207 God, beyond all names	CH	207	God, beyond all names
CH0208	CH208 God everlasting, wonderful and holy	CH	208	God everlasting, wonderful and holy
CH0209	CH209 Freely, freely	CH	209	Freely, freely
CH0209	CH209 God forgave my sin	CH	209	God forgave my sin
CH0210	CH210 God gives his people strength	CH	210	God gives his people strength
CH0211	CH211 God who made the earth, the sky	CH	211	God who made the earth, the sky
CH0212	CH212 God has chosen me	CH	212	God has chosen me
CH0213	CH213 God alone	CH	213	God alone
CH0214	CH214 God is love, and where true love is	CH	214	God is love, and where true love is
CH0215	CH215 God is love, his the care	CH	215	God is love, his the care
CH0216	CH216 God is my great desire	CH	216	God is my great desire
CH0217	CH217 God is working his purpose out	CH	217	God is working his purpose out
CH0218	CH218 God of day and God of darkness	CH	218	God of day and God of darkness
CH0219	CH219 God of mercy and compassion	CH	219	God of mercy and compassion
CH0220	CH220 God of tender mercy, God of love	CH	220	God of tender mercy, God of love
CH0220	CH220 Love which never ends	CH	220	Love which never ends
CH0221	CH221 God, our fountain of salvation	CH	221	God, our fountain of salvation
CH0222	CH222 God, our maker, mighty Father	CH	222	God, our maker, mighty Father
CH0223	CH223 God rest you merry, gentlemen	CH	223	God rest you merry, gentlemen
CH0224	CH224 God the Creator, you in love made me	CH	224	God the Creator, you in love made me
CH0225	CH225 God, who made the earth and sky	CH	225	God, who made the earth and sky
CH0226	CH226 God, your glory we have seen	CH	226	God, your glory we have seen
CH0227	CH227 Go tell Everyone	CH	227	Go tell Everyone
CH0227	CH227 God's spirit is in my heart	CH	227	God's spirit is in my heart
CH0228	CH228 Godhead here in hiding	CH	228	Godhead here in hiding
CH0229	CH229 Good Christians all, rejoice	CH	229	Good Christians all, rejoice
CH0230	CH230 Good Christians all, rejoice and sing	CH	230	Good Christians all, rejoice and sing
CH0231	CH231 Great is the Lord my soul proclaims	CH	231	Great is the Lord my soul proclaims
CH0232	CH232 Great Saint Andrew	CH	232	Great Saint Andrew
CH0233	CH233 Guide me, O thou great Redeemer	CH	233	Guide me, O thou great Redeemer
CH0234	CH234 Hail, glorious Saint Patrick	CH	234	Hail, glorious Saint Patrick
CH0235	CH235 Hail, holy Joseph, hail!	CH	235	Hail, holy Joseph, hail!
CH0236	CH236 Hail Mary, full of grace	CH	236	Hail Mary, full of grace
CH0237	CH237 Hail Mary, Mother of our God	CH	237	Hail Mary, Mother of our God
CH0238	CH238 Hail, Queen of Heav'n	CH	238	Hail, Queen of Heav'n
CH0239	CH239 Hail, Redeemer, King divine	CH	239	Hail, Redeemer, King divine
CH0240	CH240 Hail the day that sees him rise	CH	240	Hail the day that sees him rise
CH0241	CH241 Hail to the Lord's anointed	CH	241	Hail to the Lord's anointed
CH0243	CH243 Hark! A herald voice is calling	CH	243	Hark! A herald voice is calling
CH0244	CH244 Hark, the herald angels sing	CH	244	Hark, the herald angels sing
CH0245	CH245 He became poor	CH	245	He became poor
CH0246	CH246 He is Lord, he is Lord	CH	246	He is Lord, he is Lord
CH0247	CH247 He is risen, tell the story	CH	247	He is risen, tell the story
CH0248	CH248 He who would valiant be	CH	248	He who would valiant be
CH0249	CH249 He's got the whole world in his hand	CH	249	He's got the whole world in his hand
CH0250	CH250 Hear my cry, O God	CH	250	Hear my cry, O God
CH0251	CH251 Attende Domine	CH	251	Attende Domine
CH0251	CH251 Hear us, almighty Lord (Attende Domine)	CH	251	Hear us, almighty Lord (Attende Domine)
CH0252	CH252 Help, Lord, the souls that thou hast made	CH	252	Help, Lord, the souls that thou hast made
CH0253	CH253 Gather us in	CH	253	Gather us in
CH0253	CH253 Here in this place	CH	253	Here in this place
CH0254	CH254 Here's a child for you, O Lord	CH	254	Here's a child for you, O Lord
CH0255	CH255 Hills of the north, rejoice	CH	255	Hills of the north, rejoice
CH0256	CH256 Holy Father, God of might	CH	256	Holy Father, God of might
CH0257	CH257 Holy God, we praise thy name	CH	257	Holy God, we praise thy name
CH0258	CH258 Holy, holy, holy, holy (Owens)	CH	258	Holy, holy, holy, holy (Owens)
CH0259	CH259 Holy, holy, holy! Lord God almighty	CH	259	Holy, holy, holy! Lord God almighty
CH0260	CH260 Holy Spirit, hear us; help us while we sing	CH	260	Holy Spirit, hear us; help us while we sing
CH0261	CH261 Holy Spirit, Lord of light	CH	261	Holy Spirit, Lord of light
CH0262	CH262 Holy Spirit of fire	CH	262	Holy Spirit of fire
CH0263	CH263 Holy Virgin, by God's decree	CH	263	Holy Virgin, by God's decree
CH0264	CH264 Hosanna Blessed is he	CH	264	Hosanna Blessed is he
CH0265	CH265 Hosanna, loud hosanna	CH	265	Hosanna, loud hosanna
CH0266	CH266 How brightly beams the morning star	CH	266	How brightly beams the morning star
CH0267	CH267 How dark was the stable	CH	267	How dark was the stable
CH0268	CH268 How lovely on the mountains	CH	268	How lovely on the mountains
CH0268	CH268 Our God reigns	CH	268	Our God reigns
CH0269	CH269 How shall they hear the word of God	CH	269	How shall they hear the word of God
CH0270	CH270 I am a new creation	CH	270	I am a new creation
CH0271	CH271 I am the bread of life (Konstant)	CH	271	I am the bread of life (Konstant)
CH0272	CH272 I am the Bread of life (Toolan)	CH	272	I am the Bread of life (Toolan)
CH0273	CH273 I am the vine, you are the branches	CH	273	I am the vine, you are the branches
CH0274	CH274 I bind unto myself today	CH	274	I bind unto myself today
CH0274	CH274 Saint Patrick's Breastplate	CH	274	Saint Patrick's Breastplate
CH0275	CH275 I danced in the morning	CH	275	I danced in the morning
CH0275	CH275 Lord of the Dance	CH	275	Lord of the Dance
CH0276	CH276 I have loved you with an everlasting love	CH	276	I have loved you with an everlasting love
CH0277	CH277 I lift my eyes to the mountains (Norbert)	CH	277	I lift my eyes to the mountains (Norbert)
CH0278	CH278 I lift up my eyes (Huijbers)	CH	278	I lift up my eyes (Huijbers)
CH0279	CH279 I met you at the cross	CH	279	I met you at the cross
CH0280	CH280 I received the living God	CH	280	I received the living God
CH0281	CH281 I rejoiced when I heard them say	CH	281	I rejoiced when I heard them say
CH0282	CH282 I saw a star up high	CH	282	I saw a star up high
CH0283	CH283 I saw the grass	CH	283	I saw the grass
CH0284	CH284 I sing a song to you, Lord	CH	284	I sing a song to you, Lord
CH0285	CH285 Here I am, Lord	CH	285	Here I am, Lord
CH0285	CH285 I, the Lord of sea and sky	CH	285	I, the Lord of sea and sky
CH0286	CH286 I vow to thee, my country	CH	286	I vow to thee, my country
CH0287	CH287 I am Wisdom	CH	287	I am Wisdom
CH0287	CH287 I was born before creation	CH	287	I was born before creation
CH0288	CH288 I watch the sunrise	CH	288	I watch the sunrise
CH0289	CH289 I will be with you	CH	289	I will be with you
CH0290	CH290 I will never forget you	CH	290	I will never forget you
CH0291	CH291 I will sing, I will sing	CH	291	I will sing, I will sing
CH0292	CH292 I wonder as I wander	CH	292	I wonder as I wander
CH0293	CH293 I'll sing a hymn to Mary	CH	293	I'll sing a hymn to Mary
CH0294	CH294 I'll sing God's praises	CH	294	I'll sing God's praises
CH0295	CH295 If God is for us, who can be against	CH	295	If God is for us, who can be against
CH0296	CH296 If God is our defender	CH	296	If God is our defender
CH0297	CH297 If God should lead us home	CH	297	If God should lead us home
CH0298	CH298 If I were a butterfly	CH	298	If I were a butterfly
CH0299	CH299 All that is hidden	CH	299	All that is hidden
CH0299	CH299 If you would follow me	CH	299	If you would follow me
CH0300	CH300 Immaculate Mary	CH	300	Immaculate Mary
CH0301	CH301 Immortal, invisible	CH	301	Immortal, invisible
CH0302	CH302 In bread we bring you, Lord	CH	302	In bread we bring you, Lord
CH0303	CH303 In Christ there is no east or west	CH	303	In Christ there is no east or west
CH0304	CH304 In the abundance of your compassion	CH	304	In the abundance of your compassion
CH0305	CH305 In the bleak midwinter	CH	305	In the bleak midwinter
CH0306	CH306 In the earth a small seed is hidden	CH	306	In the earth a small seed is hidden
CH0307	CH307 In the land there is a hunger	CH	307	In the land there is a hunger
CH0308	CH308 In the Lord I'll be ever thankful (Taizé)	CH	308	In the Lord I'll be ever thankful (Taizé)
CH0309	CH309 In your love remember me	CH	309	In your love remember me
CH0310	CH310 Infant holy, infant lowly	CH	310	Infant holy, infant lowly
CH0311	CH311 Inspired by love and anger	CH	311	Inspired by love and anger
CH0312	CH312 Into one we all are gathered	CH	312	Into one we all are gathered
CH0314	CH314 It came upon the midnight clear	CH	314	It came upon the midnight clear
CH0315	CH315 It is good to give thanks	CH	315	It is good to give thanks
CH0316	CH316 It's me, it's me, it's me, O Lord	CH	316	It's me, it's me, it's me, O Lord
CH0317	CH317 Jerusalem the golden	CH	317	Jerusalem the golden
