Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2027-06-04	Fri	NOE	Most Sacred Heart of Jesus		Most Sacred Heart of Jesus
2027-06-05	Sat	NOE	St Boniface, Bishop, Martyr		St Boniface, Bishop, Martyr	Immaculate Heart of Mary
2027-06-06	Sun	NOE	ORDINARY TIME X		ORDINARY TIME X
2027-06-07	Mon	NOE	Ord Time X:Mon		Ord Time X:Mon
2027-06-08	Tue	NOE	Ord Time X:Tue		Ord Time X:Tue
2027-06-09	Wed	NOE	Ord Time X:Wed		Ord Time X:Wed	St Ephrem of Edessa, Deacon, Doctor	St Columba of Iona, Abbot
2027-06-10	Thu	NOE	Ord Time X:Thu		Ord Time X:Thu
2027-06-11	Fri	NOE	St Barnabas, Apostle		St Barnabas, Apostle
2027-06-12	Sat	NOE	Ord Time X:Sat		Ord Time X:Sat	Saturday memorial of our Lady
2027-06-13	Sun	NOE	ORDINARY TIME XI		ORDINARY TIME XI
2027-06-14	Mon	NOE	Ord Time XI:Mon		Ord Time XI:Mon
2027-06-15	Tue	NOE	Ord Time XI:Tue		Ord Time XI:Tue
2027-06-16	Wed	NOE	Ord Time XI:Wed		Ord Time XI:Wed	St Richard of Chichester, Bishop
2027-06-17	Thu	NOE	Ord Time XI:Thu		Ord Time XI:Thu
2027-06-18	Fri	NOE	Ord Time XI:Fri		Ord Time XI:Fri
2027-06-19	Sat	NOE	Ord Time XI:Sat		Ord Time XI:Sat	St Romuald, Abbot	Saturday memorial of our Lady
2027-06-20	Sun	NOE	ORDINARY TIME XII		ORDINARY TIME XII
2027-06-21	Mon	NOE	St Aloysius Gonzaga, Religious		St Aloysius Gonzaga, Religious
2027-06-22	Tue	NOE	Ss John Fisher, Bishop, & Thomas More, Martyrs		Ss John Fisher, Bishop, & Thomas More, Martyrs
2027-06-23	Wed	NOE	Ord Time XII:Wed		Ord Time XII:Wed	St Etheldreda, Abbess
2027-06-24	Thu	NOE	Nativity of St John the Baptist		Nativity of St John the Baptist
2027-06-25	Fri	NOE	Ord Time XII:Fri		Ord Time XII:Fri
2027-06-26	Sat	NOE	Ord Time XII:Sat		Ord Time XII:Sat	Saturday memorial of our Lady
2027-06-27	Sun	NOE	ORDINARY TIME XIII		ORDINARY TIME XIII
2027-06-28	Mon	NOE	St Irenaeus of Lyons, Bishop, Doctor, Martyr		St Irenaeus of Lyons, Bishop, Doctor, Martyr
2027-06-29	Tue	NOE	SS PETER & PAUL, APOSTLES		SS PETER & PAUL, APOSTLES
2027-06-30	Wed	NOE	Ord Time XIII:Wed		Ord Time XIII:Wed	First Martyrs of the See of Rome
2027-07-01	Thu	NOE	Ord Time XIII:Thu		Ord Time XIII:Thu	St Oliver Plunket, Bishop, Martyr
2027-07-02	Fri	NOE	Ord Time XIII:Fri		Ord Time XIII:Fri
2027-07-03	Sat	NOE	St Thomas, Apostle		St Thomas, Apostle
2027-07-04	Sun	NOE	ORDINARY TIME XIV		ORDINARY TIME XIV
2027-07-05	Mon	NOE	Ord Time XIV:Mon		Ord Time XIV:Mon	St Anthony Mary Zaccaria, Priest
2027-07-06	Tue	NOE	Ord Time XIV:Tue		Ord Time XIV:Tue	St Maria Goretti, Virgin, Martyr
2027-07-07	Wed	NOE	Ord Time XIV:Wed		Ord Time XIV:Wed
2027-07-08	Thu	NOE	Ord Time XIV:Thu		Ord Time XIV:Thu
2027-07-09	Fri	NOE	Ord Time XIV:Fri		Ord Time XIV:Fri	Ss Augustine Zhao Rong & Companions, Martyrs
2027-07-10	Sat	NOE	Ord Time XIV:Sat		Ord Time XIV:Sat	Saturday memorial of our Lady
