BookID	SeqNum	BookNames_de	BookNames_en	BookNames_es-AR	BookNames_es	BookNames_fi	BookNames_fr	BookNames_gr	BookNames_hr	BookNames_hu	BookNames_it	BookNames_la	BookNames_pl	BookNames_pt	BookNames_ro	BlankColumn
EPH	56	Der Brief an die Epheser	Ephesians	Carta a los Efesios	Efesios	Efesolaisille	Ephésiens	Efésios	Poslanica Efežanima	Efezusiaknak írt levél	Efesini	Epistula ad Ephesios	List do Efezjan	Efésios	Scrisoarea sf. apostol Paul către Efeséni	
PHP	57	Der Brief an die Philipper	Philippians	Carta a los Filipenses	Filipenses	Filippiläisille	Philippiens	Filipenses	Poslanica Filipljanima	Filippieknek írt levél	Filippesi	Epistula ad Philippenses	List do Filipian	Filipenses	Scrisoarea sf. apostol Paul către Filipéni	
COL	58	Der Brief an die Kolosser	Colossians	Carta a los Colosenses	Colosenses	Kolossalaisille	Colossiens	Colossenses	Poslanica Kološanima	Kolosszeieknek írt levél	Colossesi	Epistula ad Colossenses	List do Kolosan	Colossenses	Scrisoarea sf. apostol Paul către Coloséni	
1TH	59	Der erste Brief an die Thessalonicher	1 Thessalonians	1º Carta a los Tesalonicenses	I Tesalonicenses	1. Tessalonikalaisille	1 Thessaloniciens	I Tessalonicenses	Prva poslanica Solunjanima	Tesszalonikaiaknak írt I. levél	Tessalonicesi 1	Epistula I ad Thessalonicenses	1 List do Tesaloniczan	I Tessalonicenses	Scrisoarea întâi a sf. apostol Paul către Tesalonicéni	
2TH	60	Der zweite Brief an die Thessalonicher	2 Thessalonians	2º Carta a los Tesalonicenses	II Tesalonicenses	2. Tessalonikalaisille	2 Thessaloniciens	II Tessalonicenses	Druga poslanica Solunjanima	Tesszalonikaiaknak írt II. levél	Tessalonicesi 2	Epistula II ad Thessalonicenses	2 List do Tesaloniczan	II Tessalonicenses	Scrisoarea a doua sf. apostol Paul către Tesalonicéni	
1TI	61	Der erste Brief an Timotheus	1 Timothy	1º Carta a Timoteo	I Timoteo	1. Timoteukselle	1 Timothée	I Timóteo	Prva poslanica Timoteju	Timóteusnak írt I. levél	Timoteo 1	Epistula I ad Timotheum	1 List do Tymoteusza	I Timóteo	Scrisoarea întâi a sf. apostol Paul către Timotéi	
2TI	62	Der zweite Brief an Timotheus	2 Timothy	2º Carta a Timoteo	II Timoteo	2. Timoteukselle	2 Timothée	II Timóteo	Druga poslanica Timoteju	Timóteusnak írt II. levél	Timoteo 2	Epistula II ad Timotheum	2 List do Tymoteusza	II Timóteo	Scrisoarea a doua sf. apostol Paul către Timotéi	
TIT	63	Der Brief an Titus	Titus	Carta a Tito	Tito	Tiitukselle	Tite	Tito	Poslanica Titu	Titusznak írt levél	Tito	Epistula ad Titum	List do Tytusa	Tito	Scrisoarea sf. apostol Paul către Tit	
PHM	64	Der Brief an Philemon	Philemon	Carta a Filemon	Filemon	Filemonille	Philémon	Filêmon	Poslanica Filemonu	Filemonnak írt levél	Filemone	Epistulam ad Philemonem	List do Filemona	Filêmon	Scrisoarea sf. apostol Paul către Filemón	
HEB	65	Der Brief an die Hebräer	Hebrews	Carta a los Hebreos	Hebreos	Kirje hebrealaisille	Hébreux	Hebreus	Poslanica Hebrejima	Zsidóknak írt levél	Ebrei	Epistula ad Hebraeos	List do Hebrajczyków	Hebreus	Scrisoarea către Evrei	
JAS	66	Der Brief des Jakobus	James	Carta de Santiago	Santiago	Jaakobin kirje	Jacques	São Tiago	Jakovljeva poslanica	Szent Jakab levele	Giacomo	Epistula Iacobi	List Jakuba	São Tiago	Scrisoarea sf. apostol Iacób	
1PE	67	Der erste Brief des Petrus	1 Peter	1º Carta de Pedro	I Pedro	1. Pietarin kirje	1 Pierre	I São Pedro	Prva Petrova poslanica	Szent Péter I. levele	Pietro 1	Epistula I Petri	1 List Piotra	I São Pedro	Scrisoarea întâi sf. apostol Petru	
2PE	68	Der zweite Brief des Petrus	2 Peter	2º Carta de Pedro	II Pedro	2. Pietarin kirje	2 Pierre	II São Pedro	Druga Petrova poslanica	Szent Péter II. levele	Pietro 2	Epistula II Petri	2 List Piotra	II São Pedro	Scrisoarea a doua a sf. apostol Petru	
1JN	69	Der erste Brief des Johannes	1 John	1º Carta de Juan	I Juan	1. Johanneksen kirje	1 Jean	I São João	Prva Ivanova poslanica	Szent János I. levele	Giovanni 1	Epistula I Ioannis	1 List Jana	I São João	Scrisoarea întâi a sf. apostol Ioan	
2JN	70	Der zweite Brief des Johannes	2 John	2º Carta de Juan	II Juan	2. Johanneksen kirje	2 Jean	II São João	Druga Ivanova poslanica	Szent János II. levele	Giovanni 2	Epistula II Ioannis	2 List Jana	II São João	Scrisoarea a doua a sf. apostol Ioan	
3JN	71	Der dritte Brief des Johannes	3 John	3º Carta de Juan	III Juan	3. Johanneksen kirje	3 Jean	III São João	Treæa Ivanova poslanica	Szent János III. levele	Giovanni 3	Epistula III Ioannis	3 List Jana	III São João	Scrisoarea a treia a sf. apostol Ioan	
JUD	72	Der Brief des Judas	Jude	Carta de Judas	Judas	Juudaan kirje	Jude	São Judas	Poslanica Jude apostola	Szent Judás levele	Giuda	Epistula Iudae	List Judy	São Judas	Scrisoarea sf. apostol Iuda	
REV	73	Die Offenbarung des Johannes	Revelation	Apocalipsis	Apocalipsis	Johanneksen ilmestys	Apocalypse	Apocalipse	Otkrivenje	Jelenések könyve	Apocalisse	Apocalypsis Ioannis	Apokalipsa Św. Jana	Apocalipse	Apocalipsul sf. apostol Ioan	
