fai	Faiwol NT	Bogus
far	Fataleka New Testament	Bogus
ffm	Maasina Fulfulde NT	Bogus
fin	Finnish: Biblica® Avoin Elävä uutinen: Uusi testamentti vapaasti kerrottuna (New Testament)	Bogus
for	Fore NT	Bogus
fraLSG	French Louis Segond 1910 Bible	Bogus
fra_fob	French Ostervald Bible	Bogus
frajnd	French: Bible J.N. Darby	Bogus
francl	French néo-Crampon Libre	Bogus
frasbl	French Free Holy Bible for the World	Bogus
fue	Fulfulde Borgu NT	Bogus
fuf	Pular Fuuta-Jallon New Testament	Bogus
fuhbkf	Fulfulde Burkina NT	Bogus
gah	Alekano Bible	Bogus
gai	New Testament in Mborena Kam language	Bogus
gam	Kandawo NT	Bogus
gaq	Gata Didayi NT	Bogus
gaw	Nobnob NT	Bogus
gax	Guji Oromo Bible	Bogus
gaz	New Oromo Contemporary Version	Bogus
gaze	West Central Oromo Bible	Bogus
gbl	Gamit Bible	Bogus
gdf	Guduf-Gava NT	Bogus
gdn	Umanakaina NT	Bogus
gdr	Wipi NT	NoTabEndingColumn
geb	Kire NT	Bogus
gel	ut-Ma’in: ut-Mai'n Scripture portions (Bible)	Bogus
gfk	Patpatar NT and Psalms	Bogus
gfkh	Hinsaal NT	Bogus
gfks	Sokarek NT	Bogus
gge	Gurrgoni Selections	Bogus
ghn	Ghanongga: Kubokota Adapt New Testament (Bible)	Bogus
ghs	Guhu-Samane NT	Bogus
gia	Kitja Jonah	Bogus
glk	Gilaki John	Bogus
glwl	Glavda NT Portion	Bogus
gmvRNT	Gamo NT	Bogus
gmve	Gamo Bible	Bogus
gmvggm	Gamo NT	Bogus
gmvl	Gamo Bible (Latin)	Bogus
gngNT	Ngangam NT	Bogus
gnn	Gumatj Bible	Bogus
gnwNT	Western Bolivian Guaraní NT	Bogus
gofENT	Gofa NT (Ethiopic script)	Bogus
gofRNT	Gofa NT (Latin script)	Bogus
gofe	Gofa: ጌሻ ማፃፋ Bible	Bogus
gofl	Gofa Bible Latin	Bogus
gofwftw	Gofa NT	Bogus
goj	Gowlan NT	Bogus
gok	Gawli NT	Bogus
grc-tisch	Tischendorf Greek NT	Bogus
grcbrent	Brenton Septuagint	Bogus
grcbyz	Byzantine Greek  NT	Bogus
grcf35	Greek NT Family 35	Bogus
grcmt	Greek Majority Text NT	Bogus
grcsbl	SBL Greek NT	Bogus
grcsr	Solid Rock Greek New Testament	Bogus
grctcgnt	Text-Critical Greek NT	Bogus
grctr	Textus Receptus	Bogus
gubBl	Guajajára Bible	NoTabEndingColumn
gue	Gurindji Scripture Portions	Bogus
guf	Gupapuyngu Bible Portions	Bogus
guh	Guahibo NT	Bogus
guiNT	Eastern Bolivian Guaraní NT	Bogus
guj2017	Gujarati Indian Revised Version Bible	Bogus
gulNT	Sea Island Creole English NT	Bogus
gum	Guambiano NT	Bogus
gun	Mbyá Guaraní NT	Bogus
guoNT	Guayabero NT	Bogus
gup	Kunwinjku Bible	Bogus
gupk	Kuninjku Gospel Selections	Bogus
gupmay	Mayali Selections	Bogus
gux	Gourmanchéma NT	Bogus
guxg	Gourmanchéma NT	Bogus
gvc	Guanano NT	Bogus
gvf	Golin NT	Bogus
gvn	Kuku-Yalanji Bible	Bogus
gvs	Gumawana Bible	Bogus
gwiNT	Gwich'in NT	Bogus
gyl	Goyil NT	Bogus
gymNT	Ngäbere NT	Bogus
gyrNT	Guarayu NT	Bogus
gyz	Geji NT	Bogus
hat	Haitian Creole Bible 1985	Bogus
hatbsa	Haitian Creole Bible 2023	Bogus
hausa	Hausa Contemporary Bible	Bogus
hauulb	Hausa NT	Bogus
hav	Havu NT	Bogus
haw1868	Hawaiian Bible 1868	Bogus
hbo	Hebrew Masoretic OT	Bogus
hboWLC	Westminster Leningrad Codex Hebrew OT	Bogus
hch	Huichol Bible 2020	Bogus
hchNT	Huichol NT 1988	Bogus
heb	Modern Hebrew Bible	Bogus
heblb	Hebrew Living NT	NoTabEndingColumn
hebsg	Salkinson Hebrew NT	Bogus
hebwlc	Hebrew OT (WLC)	Bogus
hegNTpo	Helong Bible	Bogus
hil	Hiligaynon: Biblica® Libre Ang Pulong Sang Dios (Bible) for the Philippines	Bogus
hin2017	Hindi Indian Revised Version Bible	Bogus
hincv	Hindi Contemporary Version Bible	Bogus
hixNT	Hixkaryána NT	Bogus
hla	Halia NT	Bogus
hlb	Halbi NT	Bogus
hlt	Matupi Chin Standard Bible w/ Strongs	Bogus
hltmcsb	Matupi Chin Standard Bible 2019	Bogus
hltthb	Tuivang Matu Chin Bible	Bogus
hmo	Hiri Motu Bible	Bogus
hne	Chhattisgarhi Bible	Bogus
hnsNT	Caribbean Hindustani NT	Bogus
